# column 0: Wavelength [micron]
# column 1: Total attenuated SED [Jy]
# column 2: Primary sources attenuated SED [Jy]
# column 3: Primary emission [W/Hz]
# column 4: Evolved stellar populations emission [W/Hz]
# 
1.0060e-01 1.0713e+02 1.0713e+02 2.1498e+25 9.5510e+24
1.0321e-01 1.0254e+02 1.0254e+02 1.7430e+25 5.6702e+24
1.0589e-01 1.4403e+02 1.4403e+02 2.5362e+25 1.1568e+25
1.0864e-01 1.4772e+02 1.4772e+02 2.3837e+25 1.0198e+25
1.1146e-01 1.5190e+02 1.5190e+02 2.3647e+25 1.2200e+25
1.1436e-01 1.6844e+02 1.6844e+02 2.7031e+25 1.3009e+25
1.1733e-01 1.6262e+02 1.6262e+02 2.2798e+25 1.0776e+25
1.2038e-01 1.3070e+02 1.3070e+02 1.9418e+25 7.4468e+24
1.2350e-01 1.7494e+02 1.7494e+02 2.7700e+25 1.4858e+25
1.2671e-01 2.1236e+02 2.1236e+02 2.9643e+25 1.4593e+25
1.3000e-01 2.2256e+02 2.2256e+02 2.9844e+25 1.5151e+25
1.3338e-01 2.3865e+02 2.3865e+02 3.1212e+25 1.6588e+25
1.3684e-01 2.4301e+02 2.4301e+02 3.2223e+25 1.7600e+25
1.4040e-01 2.3483e+02 2.3483e+02 3.0791e+25 1.7122e+25
1.4404e-01 2.5390e+02 2.5390e+02 3.3054e+25 1.9082e+25
1.4778e-01 2.5478e+02 2.5478e+02 3.2252e+25 1.8160e+25
1.5162e-01 2.3950e+02 2.3950e+02 3.0010e+25 1.7217e+25
1.5556e-01 2.2937e+02 2.2937e+02 2.7660e+25 1.5771e+25
1.5960e-01 2.5800e+02 2.5800e+02 3.2114e+25 1.8642e+25
1.6375e-01 2.6579e+02 2.6579e+02 3.3076e+25 1.9005e+25
1.6800e-01 2.7880e+02 2.7880e+02 3.4742e+25 2.0268e+25
1.7236e-01 2.7236e+02 2.7236e+02 3.2229e+25 1.8294e+25
1.7684e-01 2.8080e+02 2.8080e+02 3.3156e+25 1.9199e+25
1.8143e-01 2.8497e+02 2.8497e+02 3.4037e+25 2.0140e+25
1.8614e-01 2.6728e+02 2.6728e+02 3.2659e+25 1.8999e+25
1.9098e-01 2.7021e+02 2.7021e+02 3.4292e+25 1.9663e+25
1.9594e-01 2.6765e+02 2.6765e+02 3.3774e+25 2.0298e+25
